batch,fft_length,time_ms,gflops
1000,1024,0.203,252
10000,1024,0.815,628
1000,2048,0.277,407
1000,4096,0.418,588
500,8192,0.438,607
500,16384,1.437,399
250,32768,1.337,460
250,65536,2.517,521
250,131072,4.983,559
250,262144,10.185,579
250,524288,21.149,589
