batch,fft_length,time_ms,gflops
1000,1024,0.133,386
10000,1024,0.802,639
1000,2048,0.226,498
1000,4096,0.378,650
500,8192,0.450,591
500,16384,1.527,375
250,32768,1.331,462
250,65536,2.698,486
250,131072,4.928,565
250,262144,10.026,588
250,524288,21.132,589
