batch,fft_length,threads,time_ms,gflops
1000,1024,4,2.290,22
10000,1024,4,7.338,70
1000,2048,4,1.695,66
1000,4096,4,3.255,76
500,8192,4,3.272,81
500,16384,8,7.589,76
250,32768,4,9.233,67
250,65536,8,23.882,55
250,131072,4,88.275,32
250,262144,2,215.212,27
250,524288,4,509.583,24
