batch,fft_length,threads,time_ms,gflops
1000,1024,4,1.397,37
10000,1024,8,12.094,42
1000,2048,8,2.852,39
1000,4096,8,5.735,43
500,8192,4,5.906,45
500,16384,8,15.678,37
250,32768,8,16.771,37
250,65536,4,39.840,33
250,131072,4,117.080,24
250,262144,4,295.729,20
250,524288,8,747.960,17
