batch,fft_length,threads,time_ms,gflops
1000,1024,4,1.117,46.0
10000,1024,4,6.91,74.0
1000,2048,4,1.792,63.0
1000,4096,8,3.46,71.0
500,8192,8,3.317,80.0
500,16384,8,7.779,74.0
250,32768,8,8.286,74.0
250,65536,4,21.209,62.0
250,131072,4,69.402,40.0
250,262144,8,142.739,41.0
250,524288,4,297.441,42.0
