batch,fft_length,threads,time_ms,gflops
1000,1024,4,0.915,56
10000,1024,4,6.888,74
1000,2048,4,1.594,71
1000,4096,4,3.091,80
500,8192,4,3.380,79
500,16384,8,7.602,75
250,32768,4,8.465,73
250,65536,8,23.544,56
250,131072,4,67.292,41
250,262144,2,197.582,30
250,524288,4,505.449,25
