batch,fft_length,threads,time_ms,gflops
1000,1024,4,0.648,79.0
10000,1024,4,6.531,78.0
1000,2048,4,1.22,92.0
1000,4096,4,2.692,91.0
500,8192,4,3.238,82.0
500,16384,4,7.345,78.0
250,32768,4,9.348,66.0
250,65536,4,19.491,67.0
250,131072,8,45.235,62.0
250,262144,8,129.094,46.0
250,524288,8,364.533,34.0
